question,answer
<," Salesforce Forecast Categories and Opportunity Stages       Standard Salesforce forecast categories A forecast category is a category that is assigned to an opportunity based on its opportunity stage. The forecast categories help sales representatives and managers to navigate through their sales process in the current sales period. They ensure better visibility and performance monitoring.    Salesforce forecast categories  are the baseline for [Revenue Grid reports](https://docs.revenuegrid.com/articles/Reports-tab/) and [forecasts](https://docs.revenuegrid.com/articles/forecast-table/) which are intended to ensure higher sales visibility and more customized projections. Thus, proper configuration of forecast categories and opportunity stages is an essential prerequisite for the seamless use of Revenue Grid functionality.  The standard Salesforce forecast categories are:   Pipeline  – The sum of opportunities that are in the early stages of the sales process.           Best Case  – The sum of opportunities that may be won by the end of the current period, given the ideal sales process scenario.           Commit  – The sum of opportunities that are going well and are likely to be won during the current period           Omitted  – The opportunities that were closed with the “lost result”. This figure is omitted in the forecasts.           Closed  – The sum of the Opportunities that were closed won during the current period.    Opportunity StagesForecasts are built based on the mapping between the Opportunity Stage and the Forecast Category. You can customize the mapping between the Opportunity Stage and the Forecast Category to ensure that it accurately reflects the sales process in your company.  Here is the example of a standard Salesforce stage mapping:       !!! tip ""Tip""    Opportunities stages and categories must be mapped reasonably to ensure that your team can benefit from using RG reports and forecasts. For example, if all stages from 10% to 90% fall within the Pipeline category in your company's mapping, it's recommended to change the mapping to match your company's actual sales cycle.  How to change stage mapping for forecast categories If necessary, you can change the mapping between Opportunity Stages and the Forecast Categories. To do that:   1.  In Sales Console, switch to  Opportunity  in Navigation Menu        2.  Click the  Gear  (Setup Menu) icon in the upper right corner of the page       3.  Select  Edit Object       4.  Go to  Fields & Relationships     5.  On the list, find  Stage   6.  Scroll down to  Opportunity Stages Picklist Values   7.  Click  Edit  next to the Stage to change its mapping.            Or click  New  to create a new stage      8.  You can change the percentage for the stage, forecast category for the stage, and add a description     9. Click  Save  to apply the changes      "
Learn how to use Forecast Chart to navigate you in your sales," Sales visualization with Forecast Chart[this article is work-in-progress]        Revenue Grid Forecast Chart is intended for better visualization of your company’s sales process over the specified period. Using this chart, managers can track both the performance of individual users and the whole org. It can also be used to spot and analyze sales trends.       Focus on the forecast figures that matterClick on any part of the column to see the opportunities constructing it   Click on any color in the Forecast Chart’s table to see the Opportunities that constitute the corresponding figure in the chart. The Opportunities appear in the section below.   Compare different fiscal periods using Forecast ChartSee how the current/previous/next quarter compares to the previous quarters. To enable the compare view:1. Click on the  Compare  toggle in the upper right corner 2. Select the comparison periods from the  Close Date  drop-down lists.    The chart shows week by week comparison, that is the first week of the previous quarter and the first week of the current fiscal quarter. In this way, the managers can compare the situations over different sales periods to identify any similarities and detect any tendencies in revenue leakage.       "
Learn how to use Forecast Table to navigate you to the best sales game," More Effective Sales Projecting with Forecast Table[this article is work-in-progress]       Forecast Table is intended to ensure the sales process visibility and more accurate customized forecasting.  The Forecast Table is built based on your company’s Salesforce data, such as Quota, Best Case, and Commit, and it also includes the adjusted Commit and Best Case forecasts [manually submitted]() by the users in Revenue Grid.  In this way, managers can see the sales statistics and customized projections for the selected period and efficiently monitor how the numbers change over the selected period and the performance of each employee.       Numbers in Forecast Table This report combines the sales statistics and forecast from Salesforce and the customized numbers that are manually submitted by the users.  Salesforce retrieved Revenue Grid retrieves the basic numbers from Salesforce and uses them as a base line for the customized projections.  Quota  – the Salesforce Quota for the selected period.   Closed (Won)  – the sum of the Opportunities amounts that were closed won in the selected period.   Commit       • The  number above  is the latest manually submitted Adjusted Commit for the selected period.              • The  strikethrough  number below is the Salesforce Commit for the selected period.    Best Case        • The  number above  is the latest manually submitted Adjusted Best Case for the selected period.              • The  strikethrough  number below is the Salesforce Best Case for the selected period.    Commit This Month  – the total amount of won opportunities and opportunities in the Commit forecast category in Salesforce for this month.   Best Case This Month  – the total amount of won opportunities and opportunities in the Commit or Best Case forecast category in Salesforce for this month.    Adjusted in Revenue Grid If a user realizes that their actual numbers in the specific period will differ from the numbers in Salesforce, they can adjust their forecast to ensure that their managers see it as well.   Initial Commit  – the Adjusted Commit at the beginning of the selected Fiscal Quarter.           Initial Best Case  – the Adjusted Best Case at the beginning of the selected Fiscal Quarter.           Commit Week Ago    • The  number above  is the Adjusted Commit that was valid 6 days ago. If today is Wednesday, you'll see the Adjusted Commit as of last Thursday.   • The  strikethrough number  below is the total amount of won opportunities and opportunities in the Commit forecast category that was valid 6 days ago. If today is Wednesday, you'll see the Commit as of last Thursday.   Best Case Week Ago   • The  number above  is the Adjusted Best Case that was valid 6 days ago. If today is Wednesday, you'll see the Adjusted Best Case as of last Thursday.   • The  strikethrough number  below is the total amount of won opportunities and opportunities in the Best Case forecast category that was valid 6 days ago. If today is Wednesday, you'll see the Best Case as of last Thursday.    Note Week Ago  – The note added to the Adjusted Best Case/Commit forecast that was valid 6 days ago. If today is Wednesday, you'll see the note as of last Thursday.           Forecast Last Submitted  – the date when the forecast was last submitted.           Note  – the note added on submitting the latest Adjusted Commit/Best Case forecast.           Closed Won Last Week  – the Opportunities that were closed won within the last 6 days. If today is Wednesday, you'll see the total amount for the period from last Thursday through today.           Last Week Projected  – the Opportunities that were projected to close within the last 6 days. If today is Wednesday, you'll see the total amount for the period from last Thursday through today.           This Week Projected  – the Opportunities that are projected to close within 7 days starting from your org's first weekday.           Next Week Projected  – the Opportunities that are projected to close within the next 7 days starting from tomorrow.    Monitor the changes in forecast    In Forecast Table, you can differentiate between the old forecast numbers or Salesforce-retrieved numbers marked with strikethrough and the adjusted numbers that were submitted manually by the employees. The adjusted numbers reflect the current situation and can be used for further more accurate forecasting to ensure more accurate adaptive sales forecasting.    All Opportunity details in one report  Click on any number to see the detailed information about the Opportunities that constitute it.   Customize the view  Select the columns to be displayed in Forecast Table.   Apply the necessary filters to find the most relevant results    How to adjust the Best Case and Commit forecasts If employees realizes that their Best Case and Commit forecasts for the current quarter will differ from the ones calculated by Salesforce, they can adjust their personal sales forecast to include it in the org-wide forecasting.      To adjust the forecast, click on your profile picture and go to  My profile   Click  .   In the dialog box, enter the necessary adjusted Best Case and Commit values in the corresponding fields.         This dialog also includes your current quota, Best Case and Commit calculated by Salesforce, the adjusted Best Case and Commit you submitted previously.   Click  Submit  to save the changes. The updated numbers will be displayed on the top of the page and in Forecast Table.    "
Detailed Revenue Grid overview: starting using premium web-based Sales Engagement Platform<,"Revenue Grid basics        Revenue Grid (RG) is a premium web-based Sales Engagement Platform. It's Salesforce integration suite that includes efficient and immediate sales playbook automation for highly effective enterprise sales:  1. Strengthening sales forecast 2. Improving efficiency of carrying out routine Sales tasks 3. Running sophisticated Email, SMS or Phone call type of nurturing/drip campaigns 4. Supervising colleagues for better sales team coaching techniques For technical support, please send an email to [support team](mailto:support@revenuegrid.com). Revenue Grid navigation     Action Center  - used to handle incoming emails, carry out follow ups, associated  To-dos . It consists of 3 tabs: Replies, Notifications, and To-dos.  Signals  - enhanced automated nudges and alerts for next best action.  Accounts  - oversee and analyze each account.  Opportunities  - a powerful tool that combines multiple data sources to provide insights into progress and lifecycle of your Opportunities.  Sequences  - used to create and run automated sequenced reach outs, whether by Email, SMS, or other methods.  Audience  - a major pool of prospects, is used to manage Salesforce Leads and Contacts, as well as prospect imported via a CSV file,  involved in your campaigns and further communication.  Team  - consolidated performance data per each employee, displaying activity progress and analytics. Applicable to all major team coaching techniques.  Templates  - used to manage email templates for your email sequences. Here you create and store emails which later can use for your reach outs, as well as share templates with colleagues.   Settings  - used to set up essential parameters applied to your profile, campaigns, collaboration rules with colleagues.  Recordings  - a collection of Zoom, GoToMeeting transcripts of meetings conducted used to set up essential parameters applied to your profile, campaigns, collaboration rules with colleagues.   Who benefits from using Revenue Grid- Managerial level employees who require automatically collected reports and analytics on the outcomes of the sales operation carried out by their teams, in order to increase;- Sales representatives who generate leads, meet sales goals, use automated mass outreach as a leads nurturing and sales channel;- Marketing specialists who send out personalized ads, offers, or periodic digests to specific target groups by email;- Post-sales customer communication and support specialists sending out product/service updates, surveys, etc.;- Marketing and other researchers who spread branched step-by-step surveys and collect structured feedback for analysis;Revenue Grid is not a replacement for a [full-blown marketing automation platform](https://en.wikipedia.org/wiki/Marketing_automation), it is applicable for specific targeted automated emailing, text messaging, voice calling campaign scenarios  Revenue Grid system requirementsRevenue Grid is a cross-platform solution: the users can run it opened in a web browser on stationary devices and tabletsThe essential requirements are:- Internet connection- MS Exchange/Office 365/Gmail email account- Salesforce accountRevenue Grid works with an existing MS Exchange/Office 365/Gmail mail accounts and a Salesforce account; one email account is connected with only one Salesforce account and vice versa. However, the platform ensures seamless collaboration among multiple Revenue Grid users within one Salesforce org.The platform requires no installation on your device: all required Revenue Grid setup actions are performed via supported web browser.The product is guaranteed to run smoothly in the latest versions of Google Chrome (on Windows, Linux, Mac, iPad, Android tablets), MS Edge, Mozilla Firefox. Compatibility with other browsers requires specific checking. Revenue Grid basic requirement for a web browser is support of certain web UI controls, which most modern-day browsers include.  Mailbox requirementsRevenue Grid can work only with mailboxes on Gmail, MS Exchange/Office 365 (with Exchange online) servers. Compatible MS Exchange versions: 2013, 2016, 2019. "
Collection of Revenue Grid videos on Guided Selling, Videos covering Deal Guidance features     Pipeline Visibility • 4:23 
Guide to handling duplicate records when importing prospects from Salesforce and when importing from a CSV file," Automatic handling duplicate records         Handling duplicate records when importing prospects from Salesforce  These include any prospects from Salesforce, whether from views, reports, or campaigns. When importing a prospect that already exists in Revenue Grid and had been imported from Salesforce (such  prospects have   or   icons ), the record in Revenue Grid will be updated with the version coming from Salesforce. And the prospect will be added to a sequence if importing on the  Recipients tabs . Owner of the record in Revenue Grid will be updated with the user who is importing the record. When importing a prospect that already exists in Revenue Grid and had been imported from a CSV file (such  prospects have no icon  next to their photo), the record in Revenue Grid will be updated with the version coming from Salesforce,  but leaving existing values of fields that are blank in Salesforce untouched . In other words, it will blend data. And the prospect will be added to a sequence if importing on the  Recipients tabs . Owner of the record in Revenue Grid will be updated with the user who is importing the record.   Handling duplicate records when importing from a CSV file  Prospect already exists and you are the prospect ownerIf a prospect who is being imported, already exists (matched email) in Revenue Grid and had been imported (matched email) from a CSV file or punched in manually using the  Add a new prospect  button (such  prospects have no icon next to their photo ),  and you are the owner  of the prospect, the prospect's information will be overwritten by the currently uploaded file (and the prospect will be added to a sequence if imported on the  Recipients tabs .)  Prospect already exists and you are NOT the prospect ownerIf a prospect who is being imported, already exists (matched email) in Revenue Grid and had been imported (matched email) from a CSV file or punched in manually using the  Add a new prospect  button (such  prospects have no icon next to their photo ),  and you are  NOT  the owner  of the prospect, the prospect's information will  NOT  be overwritten by the currently uploaded file. (and the prospect will  NOT  be added to a sequence if imported on the  Recipients tabs .)  Prospect already exists and is linked to a Salesforce recordIf a prospect who is being imported, already exists (matched email) in Revenue Grid with   or   icons ,, the prospect's information will  NOT  be overwritten by the currently uploaded file (and the prospect will  NOT  be added to a sequence if imported on the  Recipients tabs ). It doesn't matter whether you are or are not the owner of the prospect. If there are more than one prospects with the same email in the same CSV file, then while importing each next record updates the preceding one, unless some of the required fields are blank.     Adding a single prospect via  Add a new prospect  feature In this case, even if such prospect (matched email) already exists in Revenue Grid, the newly added prospect will still be added to Revenue Grid and you will end up with two records with the same email. "
Detailed guide on importing prospects from a CSV file," Import recipients from a CSV file          Note  In order to enable the feature to upload prospects from a CSV file, your Revenue Grid Admin must enable it in  the Import/Export tab of the settings .  In order to add recipients from a CSV file to a sequence, first make sure your CSV file is in the right format and has all necessary columns in place, spelled and deliminated correctly. Then, you can upload it to Revenue Grid: directly on the [Recipients](../Recipients) tab of a particular sequence, or to the main pool of prospects on the [Audience](../People) page. Prospects imported from a CSV file have no icon next to their logo in Revenue Grid (if they are not linked to any Salesforce records), while prospects imported from Salesforce will be marked with   Salesforce Contact and   Salesforce Lead icons.Prospects imported from Salesforce and CSV will remain in Revenue Grid until they are manually deleted.  CSV file formatThese are the headers of the columns which should match exactly like in the template.   Download template  Required columns: email, firstName, lastName  Optional columns: all the rest  In the example above, second prospect in the list won't be uploaded to Revenue Grid because of missing value in one of the required columns. Make sure you double check your CSV file opened in MS Excel or in any other supported CSV file editor.  Importing prospects to Revenue Grid from CSV fileYou can import recipients directly into one of your sequences, or to the Audience page to the major pool of prospects in Revenue Grid.   1. Click   button in the top right-hand corner, and choose ""CSV""   2. In the appeared dialog box, choose a file or drag-and-drop it to the gray area.    Once a file is chosen,  Preview  area will parse first two rows from your CSV file. There may be a case when you would get error messages.   Missing mandatory column - means at least one header of the required columns is missing or mistyped. Please open your CSV file on your computer via MS Excel or any other supported editor and make sure that required headers all properly delimited and look good. No relevant data - means the chosen file is empty.   3. Choose values in the  Character Code  and  Values Separated By  drop-downs and click ""Import"".    Total  - how many rows have been found in the file (besides the header row)  Created  - how many prospects have been successfully imported  Matched existing  - how many prospects match already existing prospects with the same email  Failed  - how many prospects had blank at least one value in required fields  Added to sequence  (this appears only when you importing into a sequence on the  Recipients tab , as opposed to on the Audience page) - it equals to number of  Created  prospects, and shows how many prospects have been added to the sequence    What happens when I have duplicated prospects? Refer to  this article for details on how Revenue Grid handles duplicates while importing prospects .  "
"An overview of Revenue Intelligence package setup, configuration and functionality<"," Intelligence Package Rollout[admin-level article]      This article describes the step-by-step rollout of [Intelligence Package](https://revenuegrid.com/pricing/). It includes the steps that should be performed by the org's admins (e.g., Salesforce and corporate firewall configuration, Managed package installation, assignment of Signals Managers and signals configuration) and by the solution's end users (e.g., installation of RG Email Sidebar, signing in to Revenue Grid). All described steps are mandatory to ensure the correct functioning of the solution.!!! warning ""Important""      Intelligence Package must be rolled out by users with admin rights in Salesforce and Revenue Grid. The first user who signs up with the solution automatically acquires admin rights in Revenue Grid.  Intelligence Package rollout comprises the following steps: Step 1. [Configure your Salesforce](../intelligence-package-rollout/step_1_configure_your_salesforce) Step 2. [Install Revenue Grid Salesforce managed package](../intelligence-package-rollout/step_2_install_revenue_grid_salesforce_managed_package) Step 3. [Configure the corporate firewall](../intelligence-package-rollout/step_3_configure_the_corporate_firewall) Step 4. [Install RG Email Sidebar](../intelligence-package-rollout/step_4_install_rg_email_sidebar) Step 5. [Sign in to Revenue Grid](../intelligence-package-rollout/step_5_sign_in_to_revenue_grid) Step 6. [Configure Signals](../intelligence-package-rollout/step_6_configure_signals)    Step 1. Configure your Salesforce  !!! note ""Note""      The Salesforce configuration described below is not obligatory. Intelligence Package can function without them out-of-the-box. However, it’s recommended to finetune your Salesforce space as described because these prerequisites contribute to better data visualization and visibility in reports, forecasts, and charts. Revenue Grid uses Salesforce data for analytics, forecasts, reports, and other functionality of Intelligence Package. Correct configuration and setup of your Salesforce org are crucial to ensure that the whole range of the functionality offered by the solution is available to users.1.1.  Configure customized My Domain  in Salesforce1.2.  Enable Collaborative Forecasts   1.3.  Set up the Role Hierarchy 1.4.  Enable users in Collaborative Forecasts and select forecast managers 1.5.  Assign Quotas to Users  1.6.  Check your org's Forecast Categories configuration  and if necessary  adjust the mapping between Opportunity Stages and Forecast Categories   1.7.  Create a new  Salesforce list view  to filter the Opportunities to be displayed in Revenue Grid   Step 2. Install Revenue Grid Salesforce managed packageRevenue Grid Salesforce managed package is a part of the solution that should be installed to enable the additional features like the auxiliary custom fields, classes, widgets, forecasts, reports, and other components.Installation of Revenue Grid Salesforce managed package consists of several steps:2.1.  Install Revenue Grid managed package   2.2.  Configure the Revenue Grid app in Salesforce   2.3.  Configure RG Widgets in Salesforce    !!! warning ""Updating managed package""       Revenue Grid managed package gets updated regularly. Each update includes functionality improvements and bugfixes. Thus, to ensure that your company can take the most of using Revenue Grid, it's crucial to have the latest version of Revenue Grid managed package installed.         You can find the link to the latest version of the package in the topmost section of [this article](https://docs.revenuegrid.com/ri/fast/articles/Admin-Managed-Package/:~:text=You%20can%20get%20the%20latest%20version%20of%20the%20managed%20package%20here)         Step 3. Configure the corporate firewall   Configure your corporate firewall to work with Revenue Grid as described in  this article .  Step 4. Install RG Email Sidebar Next, end users must install RG Email Sidebar and activate the sync by connecting their Salesforce account and mailbox. Refer to [this article](https://docs.revenuegrid.com/ri/fast/articles/First-Steps/) for the list of articles describing how users can install and run RG Email Sidebar on different operating systems, mail servers, and devices. !!! tip ""Tip""    If your company requires other deployment scenarios other than the independent installation of the solution by end users, refer to the [Frequently asked questions](../intelligence-package-rollout/frequently_asked_questions) section below to learn more about mass deployment and impersonation options  Step 5. Sign in to Revenue Grid Next, the end users must sign in to Revenue Grid as described in [this article](https://docs.revenuegrid.com/articles/Setup/) using the same mailbox and Salesforce account they specified on signing in with RG Email Sidebar.  Step 6. Configure Signals Besides the signals that are enabled by default and manually created by the end users, Revenue Grid also offers configurable signals that are created and managed by admins and Signals Managers, i.e., users with signals configuration management rights. In this step, admins should appoint users who can manage signals in Revenue Grid and configure the signals in the Signals Builder to ensure that users get the required notifications.6.1. [Allow signals configuration management for specific users](../signals-manager/) 6.2. [Configure the necessary signals in Signals Builder](https://docs.revenuegrid.com/ri/fast/articles/signals-settings-and-parameters/) !!! warning ""Important""      A prerequisite for using all signals is the sync activation by connecting with the Salesforce account and mailbox and [signing in to Revenue Grid](https://revenuegrid.com/log-in/). It means that only the users with active sync, who signed in to Revenue Grid at least once, will receive all relevant signal notifications. If the sync is not active, Revenue Grid is not able to detect any inbound/outbound emails and events in user's mailbox. Thus, no signals based on this data are generated.  Frequently asked questions This section provides the answers to the most frequently asked questions about Intelligence Package rollout. 1. How to provision the end users if my company won’t use RG Email Sidebar with the Intelligence package?If your company will not use RG Email Sidebar, the end users should be provisioned with the user Registration Wizard as described in  this help article . Our Support team will provide you with the Registration Wizard link tailored specially for your company.  2. Are there any options for mass deployment of RG Email Sidebar?Yes, mass deployment scenarios are avaliable for all compatible mail servers:     Mass Deployment of the Add-In (Office 365)    Mass Deployment of the Add-In (MS Exchange 2016, 2019)    Mass Deployment of the Chrome Extension for Gmail    3. Can my company use Impersonation for easier management of the connection?If necessary, the you can use the Impersonation to ensure the for easier management of the users' connection. Refer to the relevant help article to learn how to configure it:  How to Set Up Sync via Impersonation & Configure User Mailboxes  How to Configure Impersonation to Deploy the Solution (Office 365)  How to Configure Impersonation to Deploy the Solution (MS Exchange On-Premises)  How to Configure Impersonation to Deploy the Solution via MS Graph Connection (Office 365)  Impersonation Setup: Hybrid Scenarios    4. With what Salesforce editions is Intelligence Package compatible?Intelligence Package is compatible with all Salesforce editions that include Collaborative Forecasts, including Sales Cloud, Sales & Service Cloud, Financial Services, Experience Cloud editions.  Refer to  this article  for more specific information on supported Salesforce editions.  5. Can Intelligence Package be used with Partner Community licenses?Intelligence Package is compatible with Saleaforce Partner Community licenses. Your partner portal user's opportunities roll up to the forecast of the account owner, who is this user's forecast manager in the role-based forecasts hierarchy.  Refer to  this Salesforce guide  to learn how partner portal users can work with Collaborative Forecasts. !!! warning ""Important""    Revenue Grid supports only the following Salesforce Experience Cloud subdomains:  force.com ,  salesforce.com ,  siteforce.com ,  my.site.com"
Detailed guide on creating new list views in Salesforce and configuring its filters to work with Revenue Grid<," How to create a new list view and configure it to work with Revenue Grid      You can configure specific list views on the Opportunities tab in Salesforce to ensure that Revenue Grid builds its analytics, forecasts, and reports based on the filtered Salesforce data. The list views created following the instructions provided below are displayed as Default Filters in the Filter by drop-down list on the Opportunities and reports pages. With such flexible filtering, users can include or exclude specific data from reporting and forecasting in Revenue Grid. This article describes creating a new list view and configuring it to work with Revenue Grid.    Create a new list view in Salesforce 1. Open your Salesforce 2. Switch to Sales Console 3. Open the Opportunity tab 4. Click on the Gear icon in the upper right corner of the Opportunity tab 5. Choose New  6. Fill in the required fields:  List Name – The name of the filter which will be displayed on the list of filters in Revenue Grid. For example, RG Forecast  List API Name – API name which must start with “REVGRD_“ to be displayed on the list of filters in Revenue Grid. For example, REVGRD_Forecast !!! warning ""Important""     List API Name must start with REVGRD_ to be displayed on the list of default filters in Revenue Grid       Who sees this list view? Only I can see this list view – select this option to create the list view that will be visible only to you. Your colleagues won’t be able to see it.  All users can see this list view – select this option to create the list view that will be visible to all users in your org.  Share list view with groups of users – select this option to create the list view that will be visible only to selected groups of users in your org. 7. Save the new list view !!! tip ""Tip""     The created list view will appear on the “Filter by” list of filters under Default Filters on the Opportunities tab, Forecast Table, Forecast Chart, and on other report pages    Configure the list filters to match your needs After saving the new list view, the filters panel will appear on the right-hand side of the window in Salesforce. 8. Click Add filter and select the necessary filtering criteria. For example, you can exclude renewals from reporting and forecasting. 9. Click Done10. Save the changes"
The list of possible values of the Next Steps column and their descriptions," List of possible values of the  Next Steps            Here is the list of possible values of Next Steps of a sequence.    • No step - means either a prospect has been finished within the sequence, or the sequence hasn't been activated yet. • Paused for this Person - There are several reasons listed below which may put a progress of a recipient within a sequenceon hold. See below. • Details of the next scheduled Step: Number of step and day; Automatic vs Draft; and scheduled time.   Reasons why a sequence can be on pause for a prospect ⚠️ Received a reply from a prospect to one of email type of steps. Those will be on the  replies  tab for you to choose how to process them ⚠️ Received a reply from a prospect's colleague. A corresponding  To-do  item will be in the Action Center for you to choose what action to take next ⚠️ Broken  merge field  in your message will also put a sequence for a prospect on pause. A corresponding  To-do  item will be in the Action Center for you to fix it either by removing Merge Field from your message, or by filling out required field directly in Salesforce ⚠️ Owner of a prospect has been changed in Salesforce. A corresponding  To-do  item will be in the Action Center for you to perform an action so a sequence proceeds ⚠️ You can manually pause a sequence for any of your recipients using  mass actions  or via the  Sidebar  ⚠️ Received a standalone email ⚠️ Received a meeting invite or meeting confirmation ⚠️ Lead has been converted to a Contact in Salesforce   Note  Except the case when you pause a sequence for a prospect manually,  Action Required  column on Audience page and  Sequence name →Recipient's tab will have a call to action to resolve the reason why is it on pause.   Special indicators There are two special indicators appear in the column. The red info icon appears when the next step has not been sent out because  email bandwidth limits  had been hit. In such cases, Revenue Grid recalculates the next available time and date considering the sequence's delivery schedule.  email bandwidth limits  The pen icon is a control for you to reschedule the next step to any other date. Hover on to the area, click the icon and select the new date. "
Learn how to use notes and private notes on the Opportunities page," Notes about Opportunities        Revenue Grid features a convenient way to leave notes about Opportunities to your team or to yourself. On the Opportunities page, you can leave two types of notes related to an Opportunity:   Note that are visible to all your colleagues. Only the author of the note can edit it and delete it. Private note that are visible only to you. Other team members won’t see it. Notes do not affect the score of Opportunities and do not appear in the Action Center, they are displayed only on the related Opportunity. Notes disappear from an Opp only if the author deletes it.    Create a note To create a note: 1. Go to the Opportunities page in Revenue Grid2. Click on the Opportunity about which you want to leave a note3. In the Signals/Notes box, click the plus icon4. Click on the type selection icon5. Select the note type you want to create - Note or Private note6. Type in the text of the note 7. Press the Enter key to add the note Next, you will see the note appear in the Signals/Notes box.  You can remove your note by hovering over your note and clicking the Dismiss button."
Learn how to use Notifications tab in the RG Action Center to boost your productivity," Notifications tab of the Action Center       Types of notifications:Standalone emails   You can receive standalone emails from contacts who are currently active in at least one of your sequences. Those emails will appear on  Notifications tab  and you may  Reply  or  Dismiss  them. If you choose to  Reply , then type a response in the opened editor and send it, otherwise  Discard .  You may add/edit CC recipients, choose a reply from  a premade template , create a sophisticated message using handy toolbar which has options like:  - Inserting links by using   button on the bar. Remember that you are able to track if a recipient clicks on your links or not, very valuable insight.  - Pasting an inline image from clipboard or add it using    button on the bar. You may include an image from your local computer or from the Web by pasting in a link.  - Adding an attachment to your message using    button on the bar. These are file types which you can attach:  pdf, doc, docx, xls, xlsx, ppt, pptx, csv, txt, rtf, ods, odt, html, zip, 7z, rar,  mp3, mp4, wma, mpg, flv, avi, jpg, jpeg, png, gif, epub, fb2   Autoreplies Another type of an item on Notifications tab is Auto-reply. Say your recipient is on a vacation and has turned on Automatic Reply feature. Revenue Grid places such responses here for you to process them manually. Options to process such response are, Reschedule a step to which auto-reply has been received with Pen icon, or simply  Continue  the sequence.  Booked meeting   When a prospect accepts a meeting invitation, all sequences will be paused for that prospect. After the meeting you can handle such item by choosing how to continue engagement.  Undelivered This happens when an email address you have on file doesn't receive incoming emails. That may happen due to a typo when creating a contact in Salesforce, or email you are trying to reach doesn't exist anymore. A Lead/Contact's  stage within the sequence  and  person status  gets marked as Bounced in Revenue Grid. You may finish a Sequence for him/her, then change email address and enroll the recipient into a sequence afresh. Click Dismiss to remove the notification from the Action Center    Meeting invite response  - appears when a recipient sends you a meeting invite from his/her Exchange or Gmail email clients, or responses to your meeting invitation sent from your email or through  Revenue Grid Email Sidebar Book Me functionality . Following that, all sequences a recipient is enrolled into get paused for the recipient until resumed manually   "
Collection of articles on start using Revenue Grid Sequences," Start using sequences         It's time to get started!Now you are logged in, what's next?Before you start reaching out your prospects for the first time, here is the checklist to cover to get you started in no time:  Initial gearing up. One-time settings. • Recommended:  Make sure your signature is up to date  • Optional:  Setup SMS and Voice calls number  • Optional:  Setup Unsubscribe message  • Optional:  Setup BookMe link  • Optional:  Create custom Sending Schedule     Start outreach •  Create Sequence  or  Clone Sequence  •  Add steps  - explore what you can build in  examples  •  Import recipients  •  Adjust sequence settings  •  Activate  •  Handle interactions    Warm up - Run sample sequences Go to the Sequences tab,  find  the sequences, and run  two the most basic sample sequences .  •  one manual step long sequence  •  one automatic email step long sequence .   Instructions 1.  Activate  the sample sequences 2.  Handle the replies 3.  Archive the sequences  that are finished   "
Detailed overview of the data represented on the Opportunities tab in Revenue Grid," Opportunity deep dive        This is a comprehensive set of data to help you to leverage sales progress and to understand challenges through the use of 100% live data gathered and processed from email clients, calendars and Salesforce. On this all-inclusive pad, you get:    Emails and Meetings   Relationship Intelligence   Engagement highlights   Related Signals     Full transparency of talks for the best guiding All emails and meetings of an Opportunity in one place. On this chart, you can find all communication scattered on the time line. Data plots correspond to one of three types of activity: a meeting, an inbound, and an outbound email. Besides the data plots, important changes such as Close Date Change, Amount Change, First and Last Touches also get reflected on the chart for easier pipeline analytics.   Drill down to the point  By clicking on any given data plot, you can see the actual communication activities in the pop-up, from which you can read any given email or see details of a meeting.      All involved parties captured and saved Relationship Intelligence on the People chart.   This is an interactive relationship chart. Here, you can see who of your colleagues has been in touch with representatives of the opportunity.    On this chart you can see role of the people involved, total recorded communication by type (calls, emails, meetings), and recorded communication between two particular individuals by hovering over the patch between them.      Contacts who appear on the customers' side of the chart (the right side), have additional elements which help you to identify:  - if a contact is in Salesforce. If not, then use the button to create a contact seamlessly in Salesforce and associate with the opportunity. - contact card which has data parsed from email from the contact and information stored in Salesforce, or supplementary data found via a search engine:    Bing.      Engagement highlights   In the engagement highlights block, you can grasp quickly what was the most recent meeting, inbound and outbound emails with representatives of an opportunity.      Also very important ""What's next"" section which may be scrapped from calendar if that is a meeting, or else filled up manually by accountable colleague.  Change history reflects all what changes has been made to an opportunity and how many times.    Revenue Signals to navigate the sales process to closed-win   There are signals related to the opportunity. For more information about Revenue Signals,  refer to this article .     Add a signal to recommend the must action. "
